0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,y
0.88125,0.0,21.89,0.0,0.624,5.6370000000000005,94.7,1.9799,4.0,437.0,21.2,396.9,18.34,17.029682246491454,15.720000000000002,17.08,14.9,14.3
9.2323,0.0,18.1,0.0,0.631,6.216,100.0,1.1691,24.0,666.0,20.2,366.15,9.53,21.479484049381426,17.262500000000003,29.54,21.6,50.0
0.22211999999999998,0.0,10.01,0.0,0.547,6.0920000000000005,95.4,2.548,6.0,432.0,17.8,396.9,17.09,19.654255036861485,17.57,18.180000000000003,19.65,18.7
9.96654,0.0,18.1,0.0,0.74,6.485,100.0,1.9784,24.0,666.0,20.2,386.73,18.85,13.513154706441254,13.522499999999999,13.180000000000001,14.9,15.4
0.024980000000000002,0.0,1.89,0.0,0.518,6.54,59.7,6.2669,1.0,422.0,15.9,389.96,8.65,23.187468952140847,24.695,20.6,24.5,16.5
0.06466000000000001,70.0,2.24,0.0,0.4,6.345,20.1,7.8278,5.0,358.0,14.8,368.24,4.97,24.036581269533247,27.345,24.42,24.6,22.5
0.17331,0.0,9.69,0.0,0.585,5.707000000000001,54.0,2.3817,6.0,391.0,19.2,396.9,12.01,20.62938405434152,19.982499999999998,20.639999999999997,20.8,21.8
0.54452,0.0,21.89,0.0,0.624,6.151,97.9,1.6687,4.0,437.0,21.2,396.9,18.46,16.534353385223472,16.0875,17.080000000000002,16.55,17.8
0.40202,0.0,9.9,0.0,0.544,6.382000000000001,67.2,3.5325,4.0,304.0,18.4,395.21,10.36,20.86055519307354,21.212500000000002,19.12,20.0,23.1
0.44178,0.0,6.2,0.0,0.504,6.5520000000000005,21.4,3.3751,8.0,307.0,17.4,380.34,3.76,27.627635120494,30.46,28.8,28.0,31.5
2.924,0.0,19.58,0.0,0.605,6.101,93.0,2.2834,5.0,403.0,14.7,240.16,9.81,20.329683409759596,20.197500000000005,18.88,22.75,25.0
0.01096,55.0,2.25,0.0,0.389,6.452999999999999,31.9,7.3073,1.0,300.0,15.3,394.72,8.23,23.43429714048547,25.000000000000007,23.64,24.5,22.0
0.14455,12.5,7.87,0.0,0.524,6.172000000000001,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,18.615409686251645,17.95,16.72,16.55,27.1
0.19657,22.0,5.86,0.0,0.431,6.226,79.2,8.0555,7.0,330.0,19.1,376.14,10.15,21.866514437000944,23.12,19.68,19.4,20.5
3.8497,0.0,18.1,1.0,0.77,6.395,91.0,2.5052,24.0,666.0,20.2,391.34,13.27,19.65079349349548,19.065000000000005,17.16,20.0,21.7
0.17134000000000002,0.0,10.01,0.0,0.547,5.928,88.2,2.4631,6.0,432.0,17.8,344.91,15.76,18.703083898129467,19.240000000000002,17.96,19.65,18.3
