id,flag_tsunami,year,month,day,hour,minute,second,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,intensity,country,state,location_name,latitude,longitude,region_code,injuries,injuries_description,damage_millions_dollars,damage_description,total_injuries,total_injuries_description,total_damage_millions_dollars,total_damage_description
6565.0,Tsu,1866.0,9.0,5.0,13.0,0.0,,,,,,,,USA,AK,"ALASKA:  KODIAK ISLAND, AK",58.0,-152.0,150,,,,,,,,
6156.0,Tsu,1868.0,5.0,15.0,,,,,,,,,,USA,AK,ALASKA PENINSULA,55.0,-161.0,150,,,,,,,,
10019.0,Tsu,1869.0,2.0,10.0,11.0,50.0,,,,,,,,USA,CA,CALIFORNIA:  SAN FRANCISCO,37.783,-122.417,150,,,,,,,,
10020.0,Tsu,1869.0,2.0,13.0,11.0,30.0,,,,,,,,USA,CA,CALIFORNIA:  SAN FRANCISCO,37.783,-122.417,150,,,,,,,,
6515.0,Tsu,1871.0,6.0,18.0,0.0,0.0,,,,,,,,USA,NY,NEW YORK:  LONG ISLAND,40.5,-73.9,150,,,,,,,,
6176.0,Tsu,1872.0,8.0,23.0,18.0,6.0,,,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.2,-168.5,150,,,,,,,,
6177.0,No,1872.0,11.0,18.0,,,,,,,,,,USA,NH,NEW HAMPSHIRE: CONCORD,43.2,-71.53,150,,,,,,,,
10023.0,Tsu,1877.0,2.0,24.0,,,,,,,,,,USA,HI,HAWAII,,,150,,,,,,,,
6306.0,Tsu,1878.0,1.0,20.0,,,,,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,,,150,,,,,,,,
6198.0,Tsu,1878.0,8.0,29.0,,,,,,,,,,USA,AK,ALASKA:  EAST ALEUTIAN ISLANDS,53.6,-166.4,150,,,,,,,,
8118.0,Tsu,1879.0,8.0,10.0,21.0,7.0,,,,,,,,USA,CA,CALIFORNIA:  SAN FERNANDO,34.227,-118.43299999999999,150,,,,,,,,
6199.0,Tsu,1880.0,9.0,29.0,4.0,0.0,,,,,,,,USA,AK,ALASKA PENINSULA,55.8,-155.6,150,,,,,,,,
6200.0,Tsu,1880.0,10.0,26.0,22.0,20.0,,,7.0,,7.0,,,USA,AK,ALASKA:  SOUTHEASTERN,57.0,-136.0,150,,,,,,,,
6516.0,Tsu,1884.0,8.0,10.0,19.0,7.0,,,5.5,,,,7.0,USA,NY,"NEW YORK: ROCKAWAY BEACH, NEAR NEW YORK CITY",40.6,-73.75,150,,,,,,,,
7037.0,Tsu,1884.0,12.0,21.0,,,,,,,,,,USA,CT,CONNECTICUT: NEW HAVEN,41.31,-72.92,150,,,,,,,,
6980.0,Tsu,1891.0,11.0,29.0,23.0,21.0,,,,,,,6.0,USA,WA,WASHINGTON:  PUGET SOUND,48.0,-123.5,150,,,,,,,,
2416.0,No,1892.0,4.0,19.0,10.0,50.0,,,,,,,9.0,USA,CA,"CALIFORNIA:  VACAVILLE,WINTERS",38.5,-122.5,150,,,0.25,1,,,,
6637.0,Tsu,1895.0,9.0,1.0,11.0,9.0,,,4.3,,,,6.0,USA,NY,NEW JERSEY: HIGH BRIDGE,40.667,-74.883,150,,,,,,,,
6532.0,Tsu,1895.0,10.0,31.0,11.0,8.0,,,,,,,,USA,MO,MISSOURI:  CHARLESTON,37.0,-89.4,150,,,,,,,,
2533.0,No,1898.0,4.0,14.0,,,,,,,,,10.0,USA,CA,"CALIFORNIA:  N COAST,MENDOCINO COUNTY",39.0,-124.0,150,,,,1,,,,
2540.0,No,1898.0,6.0,29.0,18.0,36.0,,,7.6,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,52.0,172.0,150,,,,,,,,
2554.0,No,1899.0,9.0,10.0,17.0,4.0,,25.0,7.8,,7.8,,7.0,USA,AK,ALASKA:  CAPE YAKATAGA,60.0,-140.0,150,,,,,,,,
2564.0,Tsu,1899.0,12.0,25.0,12.0,25.0,,,6.4,,6.4,,9.0,USA,CA,CALIFORNIA,33.5,-117.0,150,8.0,1,,2,,,,
6231.0,Tsu,1900.0,8.0,11.0,4.0,40.0,,,,,,,,USA,AK,ALASKA:  SE. ALASKA,58.6,-137.5,150,,,,,,,,
2603.0,Tsu,1901.0,12.0,31.0,9.0,2.0,30.0,,7.8,,7.8,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.45,-171.02,150,,,,1,,,,
2606.0,No,1902.0,1.0,1.0,5.0,20.0,,,7.8,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5,150,,,,,,,,
2619.0,No,1902.0,4.0,29.0,6.0,57.0,,,,,,,7.0,USA,CA,CALIFORNIA:  SOUTHERN,34.5,-120.5,150,,,,2,,,,
2656.0,Tsu,1903.0,6.0,2.0,13.0,17.0,,,8.3,,8.3,,,USA,AK,ALASKA:  SOUTHWEST,61.56,-158.54,150,,,,,,,,
2690.0,No,1904.0,8.0,27.0,21.0,56.0,,,8.3,,8.3,7.8,6.0,USA,AK,ALASKA:  RAMPART,64.66,-148.08,150,,,,,,,,
2703.0,No,1905.0,2.0,14.0,8.0,46.0,,,7.9,,7.9,7.5,,USA,AK,ALASKA:  ANDREANOF ISLANDS,50.73,-178.55,150,,,,,,,,
2768.0,Tsu,1906.0,4.0,18.0,13.0,12.0,21.0,20.0,7.9,7.9,7.8,,11.0,USA,CA,CALIFORNIA:  SAN FRANCISCO,37.67,-122.48,150,,,400.0,4,,,,
2777.0,No,1906.0,8.0,17.0,0.0,10.0,42.0,25.0,7.8,,7.8,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.05,179.69,150,,,,,,,,
2796.0,No,1906.0,12.0,23.0,17.0,22.0,,,7.6,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,56.85,-153.9,150,,,,,,,,
2816.0,No,1907.0,9.0,2.0,16.0,1.0,,,7.8,,7.8,7.3,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,52.59,-169.73,150,,,,,,,,
8053.0,Tsu,1907.0,9.0,24.0,12.0,59.0,,,5.5,,5.5,,5.0,USA,AK,ALASKA:  SKAGWAY,59.5,-135.5,150,,,,,,,,
6251.0,Tsu,1908.0,2.0,14.0,11.0,25.0,,,6.0,,6.0,,,USA,AK,ALASKA:  GULF OF ALASKA,61.0,-146.2,150,,,,,,,,
6252.0,Tsu,1908.0,9.0,21.0,6.0,31.0,,33.0,6.8,,6.8,,,USA,HI,HAWAII,19.0,-155.0,150,,,,,,,,
2860.0,No,1909.0,4.0,10.0,19.0,36.0,,,7.8,,7.8,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,52.0,175.0,150,,,,,,,,
2964.0,No,1912.0,11.0,7.0,7.0,40.0,,90.0,7.5,,,,5.0,USA,AK,ALASKA:  ALASKA PENINSULA,57.5,-155.0,150,,,,,,,,
3033.0,No,1915.0,6.0,23.0,4.0,56.0,,,6.2,,,,,USA,CA,CALIFORNIA:  EL CENTRO,32.8,-115.5,150,,,0.9,1,,,,
3051.0,No,1916.0,2.0,6.0,21.0,51.0,,60.0,7.7,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,48.5,178.5,150,,,,,,,,
3053.0,No,1916.0,4.0,18.0,4.0,1.0,,170.0,7.5,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.3,-170.0,150,,,,,,,,
3083.0,No,1917.0,5.0,31.0,8.0,47.0,,,7.9,,7.9,,5.0,USA,AK,ALASKA:  ALASKA PENINSULA,54.79,-169.12,150,,,,,,,,
3111.0,No,1918.0,4.0,21.0,22.0,32.0,,,6.8,,,,,USA,CA,CALIFORNIA,33.7,-117.0,150,,,0.2,1,,,,
3189.0,No,1922.0,1.0,31.0,13.0,17.0,,,7.6,,,,,USA,CA,CALIFORNIA:  NORTHERN,41.0,-125.5,150,,,,1,,,,
6295.0,Tsu,1925.0,2.0,23.0,23.0,54.0,,,6.8,,6.8,,,USA,AK,ALASKA:  GULF OF ALASKA,60.0,-146.0,150,,,,,,,,
6298.0,Tsu,1926.0,3.0,20.0,9.0,3.0,,,,,,,,USA,HI,HAWAII,20.5,-155.5,150,,,,,,,,
7442.0,Tsu,1927.0,10.0,24.0,15.0,59.0,44.8,0.0,7.1,,7.1,7.1,7.0,USA,AK,ALASKA:  SE ALASKA,57.69,-136.07,150,,,,1,,,,
3389.0,Tsu,1929.0,3.0,7.0,1.0,34.0,,50.0,7.8,7.8,7.5,7.9,5.0,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.0,-170.0,150,,,,,,,,
6518.0,Tsu,1929.0,8.0,12.0,11.0,24.0,,,,,,,,USA,NY,NEW YORK:  ATTICA,42.9,-78.3,150,,,,,,,,
3404.0,No,1929.0,12.0,17.0,10.0,58.0,,25.0,7.8,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,52.5,171.5,150,,,,,,,,
6639.0,Tsu,1932.0,11.0,10.0,,,,,,,,,,USA,NY,NEW YORK:  WILLETTS POINT,,,150,,,,,,,,
3505.0,No,1932.0,12.0,20.0,,,,,7.2,,,,12.0,USA,NV,NEVADA:  CEDAR MOUNTAIN,38.7,-117.8,150,,,,,,,,
3516.0,Tsu,1933.0,3.0,11.0,1.0,54.0,7.8,16.0,6.3,,,,9.0,USA,CA,CALIFORNIA:  LONG BEACH,33.62,-117.97,150,,,40.0,4,,,,
3539.0,No,1934.0,12.0,31.0,,,,,7.1,,,,10.0,USA,CA,"CALIFORNIA:  BAJA,IMPERIAL VALLEY",31.8,-115.5,150,,,,,,,,
3629.0,Tsu,1938.0,11.0,10.0,20.0,18.0,41.2,25.0,8.2,8.2,8.3,8.2,6.0,USA,AK,ALASKA,55.48,-158.37,150,,,,,,,,
3669.0,No,1940.0,7.0,14.0,5.0,52.0,53.5,65.0,7.4,,,7.4,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,52.0,178.2,150,,,,,,,,
6352.0,Tsu,1946.0,11.0,1.0,11.0,14.0,,40.0,,,,,,USA,AK,ALASKA:  EAST ALEUTIAN ISLANDS,51.5,-174.5,150,,,,,,,,
3852.0,No,1947.0,4.0,10.0,15.0,58.0,,,6.4,,,,,USA,CA,CALIFORNIA,35.0,-116.6,150,,,,2,,,,
3877.0,No,1948.0,5.0,14.0,22.0,31.0,,25.0,7.5,,,,,USA,AK,ALASKA:  ALASKA PENINSULA,54.5,-161.0,150,,,,,,,,
3979.0,No,1951.0,8.0,15.0,7.0,23.0,,,,,,,5.0,USA,CA,CALIFORNIA:  TERMINAL ISLAND,33.5,-118.2,150,,,3.0,2,,,,
3980.0,Tsu,1951.0,8.0,21.0,10.0,57.0,,60.0,6.9,,,,,USA,HI,HAWAII,19.7,-156.0,150,2.0,1,,2,,,,
6364.0,Tsu,1952.0,3.0,17.0,3.0,58.0,,33.0,,,,,,USA,HI,HAWAII,19.11,-155.033,150,,,,,,,,
4050.0,No,1954.0,7.0,6.0,11.0,13.0,,,6.8,,,,,USA,NV,NEVADA:  FALLON,39.4,-118.5,150,,,,2,,,,
4052.0,No,1954.0,8.0,23.0,,,,,6.8,,,,12.0,USA,NV,NEVADA:  STILLWATER RANGE,39.6,-118.5,150,,,,,,,,
4060.0,No,1954.0,12.0,16.0,11.0,7.0,,,7.0,,,,10.0,USA,NV,NEVADA:  DIXIE VALLEY,39.3,-118.2,150,,,,,,,,
4061.0,No,1955.0,1.0,25.0,12.0,23.0,,,,,,,4.0,USA,CA,CALIFORNIA:  TERMINAL ISLAND,33.8,-118.2,150,,,3.0,2,,,,
4118.0,No,1957.0,3.0,22.0,14.0,21.0,,,7.5,,,,5.0,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,55.0,-165.2,150,,,,,,,,
4242.0,No,1961.0,4.0,4.0,21.0,32.0,,16.0,,,,,,USA,CA,CALIFORNIA:  TERMINAL ISLAND,34.0,-118.0,150,,,4.5,2,,,,
4274.0,No,1962.0,8.0,30.0,13.0,35.0,,37.0,5.8,,,,,USA,UT,UTAH,41.8,-111.8,150,,,2.0,2,,,,
6326.0,Tsu,1962.0,12.0,21.0,8.0,42.0,43.0,33.0,6.5,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.47,-168.54,150,,,,,,,,
4347.0,Tsu,1965.0,3.0,30.0,2.0,27.0,3.4,20.0,7.6,7.6,7.4,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,50.32,177.93,150,,,,,,,,
6433.0,Tsu,1971.0,5.0,2.0,6.0,8.0,27.3,43.0,7.1,,7.1,6.0,6.0,USA,AK,ALASKA:  ANDREANOF ISLANDS,51.4,-177.2,150,,,,,,,,
6438.0,Tsu,1971.0,11.0,6.0,22.0,0.0,0.1,2.0,5.7,,5.7,6.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.5,179.1,150,,,,,,,,
4626.0,No,1973.0,2.0,21.0,14.0,45.0,57.3,8.0,5.7,,5.7,5.7,7.0,USA,CA,CALIFORNIA:  OXNARD,34.1,-119.0,150,,,1.0,2,,,,
4680.0,No,1975.0,2.0,2.0,8.0,43.0,39.1,10.0,7.6,,7.6,6.1,9.0,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,53.11,173.5,150,,,,2,,,,
4687.0,No,1975.0,3.0,28.0,2.0,31.0,5.7,5.0,6.0,,6.0,6.1,8.0,USA,ID,IDAHO:  POCATELLO VALLEY,42.06,-112.55,150,,,1.0,2,,,,
4813.0,No,1978.0,8.0,13.0,22.0,54.0,53.5,7.0,5.6,,5.6,5.5,7.0,USA,CA,CALIFORNIA:  SOUTHERN,34.35,-119.7,150,65.0,2,15.0,3,,,,
4847.0,No,1979.0,10.0,15.0,23.0,16.0,54.1,10.0,6.9,,6.9,5.7,9.0,USA,CA,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,32.634,-115.324,150,91.0,2,30.0,4,,,,
4901.0,No,1980.0,11.0,8.0,10.0,27.0,34.0,19.0,7.2,,7.2,6.2,7.0,USA,CA,CALIFORNIA:  NORTH COAST,41.117,-124.25299999999999,150,,,2.75,2,,,,
6468.0,Tsu,1986.0,5.0,17.0,16.0,20.0,22.2,26.0,6.4,6.4,6.6,5.8,,USA,AK,ALASKA:  ANDREANOF ISLANDS,52.327,-174.50400000000002,150,,,,,,,,
6472.0,Tsu,1987.0,11.0,17.0,8.0,46.0,53.3,10.0,7.2,7.2,6.9,6.6,,USA,AK,ALASKA:  GULF OF ALASKA,58.586000000000006,-143.27,150,,,,,,,,
6475.0,Tsu,1989.0,9.0,4.0,13.0,14.0,58.2,11.0,6.9,,6.9,6.5,,USA,AK,ALASKA,55.543,-156.835,150,,,,,,,,
5351.0,No,1993.0,3.0,25.0,13.0,34.0,35.4,21.0,5.6,5.6,5.4,5.5,7.0,USA,WA,WASHINGTON-OREGON BORDER,45.035,-122.60700000000001,150,,,28.4,4,,,,
5363.0,No,1993.0,9.0,21.0,3.0,28.0,55.4,11.0,6.0,6.0,5.8,5.7,7.0,USA,OR,OREGON:  KLAMATH FALLS,42.31399999999999,-122.012,150,,,7.5,3,,,,
5440.0,Tsu,1996.0,6.0,10.0,4.0,3.0,35.4,33.0,7.9,7.9,7.6,6.6,6.0,USA,AK,ALASKA:  ANDREANOF ISLANDS,51.56399999999999,-177.632,150,,,,,,,,
6498.0,Tsu,1996.0,6.0,10.0,15.0,24.0,56.0,24.0,7.3,7.3,7.1,5.9,,USA,AK,ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,150,,,,,,,,
5735.0,Tsu,2003.0,11.0,17.0,6.0,43.0,6.8,33.0,7.8,7.8,7.2,6.2,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,150,,,,,,,,
6738.0,Tsu,2005.0,6.0,15.0,2.0,50.0,53.1,10.0,7.2,7.2,7.1,6.2,4.0,USA,CA,CALIFORNIA:  OFF COAST NORTHERN,41.301,-125.97,150,,,,,,,,
7532.0,Tsu,2007.0,8.0,2.0,3.0,21.0,42.8,21.0,6.7,6.7,6.6,6.3,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,51.306999999999995,-179.97099999999998,150,,,,,,,,
7601.0,No,2007.0,8.0,6.0,8.0,48.0,40.0,2.0,4.2,,,4.2,,USA,UT,UTAH:  HUNTINGTON,39.465,-111.23700000000001,150,,1,,,,1,,
7614.0,No,2007.0,8.0,17.0,0.0,38.0,56.0,0.0,1.6,,,,,USA,UT,UTAH,39.464,-111.20700000000001,150,6.0,1,,,6.0,1,,
9824.0,Tsu,2011.0,6.0,24.0,3.0,9.0,39.4,52.0,7.3,7.3,,6.9,,USA,,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.83599999999998,150,,,,,,,,
9839.0,Tsu,2011.0,9.0,2.0,10.0,55.0,53.5,32.0,6.8,6.8,6.9,6.5,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.17100000000001,-171.708,150,,,,,,,,
10100.0,Tsu,2014.0,6.0,23.0,20.0,53.0,7.0,109.0,7.9,7.9,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,51.849,178.735,150,,,,,,,,
10107.0,Tsu,2014.0,7.0,25.0,10.0,55.0,12.0,10.0,6.1,6.1,,,4.0,USA,AK,ALASKA:  SOUTHEASTERN,58.306000000000004,-136.96,150,,,,,,,,
10157.0,Tsu,2015.0,7.0,27.0,4.0,49.0,,23.0,6.9,6.9,,,,USA,AK,ALASKA,52.214,-169.399,150,,,,,,,,
10247.0,Tsu,2017.0,5.0,1.0,12.0,31.0,54.0,2.0,6.2,6.2,,,,USA,AK,ALASKA:  SKAGWAY,59.843999999999994,-136.695,150,,,,,,,,
1079.0,No,1678.0,2.0,11.0,14.0,,,,,,,,,CUBA,,CUBA:  SANTIAGO DE CUBA,20.0,-75.5,90,,,,3,,,,
1092.0,No,1682.0,,,,,,,,,,,,CUBA,,CUBA:  SANTIAGO DE CUBA,20.0,-75.5,90,,,,2,,,,
1128.0,No,1693.0,,,,,,,,,,,,CUBA,,CUBA:  HAVANA,23.1,-82.4,90,,,,2,,,,
1363.0,No,1760.0,7.0,11.0,,,,,,,,,,CUBA,,CUBA:  SANTIAGO DE CUBA,20.0,-75.5,90,,,,2,,,,
1381.0,Tsu,1766.0,6.0,12.0,4.0,45.0,,25.0,6.8,,6.8,,,CUBA,,CUBA:  SANTIAGO DE CUBA,19.9,-76.1,90,700.0,3,,3,,,,
1588.0,No,1810.0,10.0,,,,,,,,,,,CUBA,,"CUBA:  HAVANA,SANTIAGO DE CUBA",23.8,-82.2,90,,,,2,,,,
1700.0,No,1826.0,9.0,18.0,8.0,,,,,,,,,CUBA,,CUBA:  SANTIAGO DE CUBA,20.0,-75.5,90,,,,2,,,,
6609.0,Tsu,1852.0,7.0,17.0,,,,,,,,,,CUBA,,CUBA: SANTIAGO DE CUBA,20.0,-75.8,90,,,,,,,,
2276.0,No,1880.0,1.0,23.0,4.0,,,,,,,,9.0,CUBA,,"CUBA:  SAN CRISTOBAL,CANDELARIA",22.4,-83.0,90,,,,2,,,,
3484.0,Tsu,1932.0,2.0,3.0,6.0,16.0,,,5.4,,,,,CUBA,,CUBA: SANTIAGO DE CUBA,20.0,-75.8,90,,,,3,,,,
6342.0,Tsu,1939.0,8.0,15.0,3.0,52.0,,,5.6,,,5.6,8.0,CUBA,,CUBA: SANTA CLARA,22.2,-79.1,90,,,,,,,,
6646.0,Tsu,1881.0,7.0,12.0,,,,,,,,,,FIJI,,FIJI ISLANDS,-16.0,179.0,170,,,,,,,,
2856.0,No,1909.0,2.0,22.0,9.0,21.0,42.0,550.0,7.8,,7.8,,,FIJI,,FIJI ISLANDS,-18.0,-179.0,170,,,,,,,,
3133.0,Tsu,1919.0,1.0,1.0,2.0,59.0,57.0,180.0,8.3,,8.3,,,FIJI,,FIJI ISLANDS,-19.5,-176.5,170,,,,,,,,
3486.0,No,1932.0,3.0,8.0,18.0,1.0,,,6.2,,,,7.0,FIJI,,"FIJI ISLANDS:  KORO,MUDU,SUVASAVU",-17.5,179.6,170,,,,2,,,,
3594.0,No,1937.0,4.0,16.0,3.0,1.0,37.0,400.0,8.1,,8.1,,,FIJI,,FIJI ISLANDS,-21.5,-177.0,170,,,,,,,,
4096.0,No,1956.0,5.0,23.0,20.0,48.0,,430.0,7.5,,,,,FIJI,,FIJI ISLANDS,-15.0,-179.0,170,,,,,,,,
4144.0,No,1957.0,9.0,28.0,14.0,20.0,,549.0,7.5,,,,,FIJI,,FIJI ISLANDS,-20.4,-178.5,170,,,,,,,,
10271.0,Tsu,1975.0,12.0,16.0,21.0,1.0,39.0,33.0,4.9,,,4.9,,FIJI,,FIJI ISLANDS,-18.672,178.46400000000003,170,,,,,,,,
7709.0,No,1990.0,3.0,3.0,12.0,16.0,27.9,33.0,7.6,7.6,7.4,6.3,,FIJI,,FIJI ISLANDS,-22.122,175.16299999999998,170,,,,,,,,
5383.0,No,1994.0,3.0,9.0,23.0,28.0,6.7,563.0,7.6,7.6,,6.6,,FIJI,,FIJI ISLANDS,-18.039,-178.41299999999998,170,,,,,,,,
8953.0,No,2002.0,8.0,19.0,11.0,1.0,1.1,580.0,7.7,7.7,,6.7,,FIJI,,FIJI ISLANDS,-21.695999999999998,-179.513,170,,,,,,,,
8954.0,No,2002.0,8.0,19.0,11.0,8.0,24.3,675.0,7.7,7.7,,7.0,,FIJI,,FIJI ISLANDS,-23.884,178.495,170,,,,,,,,
10225.0,Tsu,2017.0,1.0,3.0,21.0,52.0,31.0,17.0,6.9,6.9,,,,FIJI,,FIJI ISLANDS,-19.326,176.053,170,,,,,,,,
10356.0,Tsu,2018.0,8.0,19.0,0.0,19.0,37.0,563.0,8.2,8.2,,,,FIJI,,FIJI ISLANDS,-18.178,-178.111,170,,,,,,,,
10361.0,No,2018.0,9.0,6.0,15.0,49.0,14.0,609.0,7.8,7.8,,,,FIJI,,FIJI ISLANDS,-18.494,179.332,170,,,,,,,,
156.0,No,634.0,,,,,,,,,,,,IRAN,,IRAN:  TABRIZ,38.0,46.2,140,,,,3,,,,
